index	WEO_Subject_Code	ISO	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates_Start_After
117	GGX	DZA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	142.54	239.63	308.724	390.484	461.895	589.085	724.609	845.196	875.739	1,034.32	1,178.12	1,321.03	1,550.65	1,691.35	1,891.77	2,049.90	2,453.01	3,108.57	4,191.05	4,246.33	4,466.94	5,853.57	7,058.17	6,024.13	6,995.77	7,656.33	7,146.03	6,955.89	6,550.00	6,550.00	6,673.16	6,973.04	7,254.65	2016
118	GGX_NGDP	DZA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	25.711	27.795	28.727	32.821	31.054	29.381	28.195	30.401	30.939	31.843	28.571	31.251	34.285	32.202	30.765	27.108	28.853	33.236	37.95	42.6	37.251	40.295	43.546	36.194	40.661	46.145	40.61	35.821	32.375	31.005	30.032	29.611	29.104	2016
119	GGXCNL	DZA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	17.66	32.77	8.076	-70.384	-27.734	11.762	100.548	81.472	-101.228	-61.54	400.037	158.076	52.638	256.083	323.396	1,030.79	1,186.89	617.077	1,062.00	-578.851	-4.613	-15.227	-718.834	-66.585	-1,257.70	-2,551.60	-2,046.77	-426.654	-407.914	-184.478	3.068	89.282	210.495	2016
120	GGXCNL_NGDP	DZA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3.185	3.801	0.751	-5.916	-1.865	0.587	3.912	2.93	-3.576	-1.895	9.701	3.74	1.164	4.876	5.259	13.631	13.961	6.598	9.616	-5.807	-0.038	-0.105	-4.435	-0.4	-7.31	-15.379	-11.631	-2.197	-2.016	-0.873	0.014	0.379	0.844	2016
121	GGSB	DZA																																												
122	GGSB_NPGDP	DZA																																												
123	GGXONLB	DZA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	26.66	48.37	31.176	-43.384	13.354	51.304	177.106	163.147	-37.685	34.25	522.273	245.012	124.589	300.871	316.984	1,013.30	1,170.16	604.633	1,038.12	-627.316	-60.823	-194.721	-860.011	-74.977	-1,279.70	-2,647.75	-2,057.70	-487.315	-512.578	-287.307	-95.088	-8.088	104.225	2016
124	GGXONLB_NGDP	DZA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.809	5.611	2.901	-3.647	0.898	2.559	6.891	5.868	-1.331	1.054	12.666	5.796	2.755	5.728	5.155	13.4	13.764	6.465	9.4	-6.293	-0.507	-1.34	-5.306	-0.45	-7.438	-15.958	-11.694	-2.51	-2.534	-1.36	-0.428	-0.034	0.418	2016
125	GGXWDN	DZA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	671.029	676.259	880.727	1,463.25	2,329.70	2,522.40	1,942.11	2,062.39	2,664.14	2,590.11	2,044.91	2,042.44	1,645.30	1,442.38	145.223	-921.444	-1,952.88	-3,389.72	-3,342.55	-3,584.54	-4,031.17	-4,121.13	-4,298.13	-3,086.16	-611.948	2,797.62	3,277.61	3,600.97	3,710.77	3,644.68	3,503.52	3,250.94	2016
126	GGXWDN_NGDP	DZA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	77.834	62.926	74.028	98.376	116.195	98.148	69.855	72.863	82.019	62.813	48.376	45.159	31.325	23.457	1.92	-10.838	-20.88	-30.694	-33.533	-29.892	-27.75	-25.425	-25.824	-17.937	-3.688	15.898	16.879	17.798	17.565	16.402	14.878	13.042	2016
127	GGXWDG	DZA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	671.029	676.259	880.727	1,463.25	2,329.70	2,522.40	1,942.11	2,062.39	2,664.14	2,590.11	2,293.94	2,317.97	2,213.75	2,164.07	1,987.92	2,009.62	1,262.62	890.317	973.908	1,258.28	1,350.54	1,512.63	1,265.38	1,322.00	1,461.90	3,582.08	3,359.61	3,600.97	3,710.77	3,644.68	3,503.52	3,355.94	2016
128	GGXWDG_NGDP	DZA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	77.834	62.926	74.028	98.376	116.195	98.148	69.855	72.863	82.019	62.813	54.267	51.251	42.148	35.193	26.288	23.638	13.5	8.062	9.77	10.493	9.297	9.332	7.603	7.684	8.811	20.356	17.301	17.798	17.565	16.402	14.878	13.463	2016
129	NGDP_FY	DZA	162.5	191.5	207.6	233.7	263.9	291.6	296.6	312.7	347.7	422.043	554.4	862.132	1,074.70	1,189.72	1,487.40	2,004.99	2,570.00	2,780.20	2,830.49	3,248.20	4,123.50	4,227.10	4,522.80	5,252.30	6,149.10	7,562.00	8,501.64	9,352.89	11,043.70	9,968.03	11,991.56	14,526.61	16,208.71	16,643.80	17,205.11	16,591.88	17,596.93	19,418.32	20,231.96	21,125.43	22,220.43	23,548.68	24,926.88	2016
130	BCA	DZA	0.242	-0.209	-0.436	-0.085	0.074	1.015	-2.23	0.141	-1.9	-1.033	1.35	2.39	1.29	0.81	-1.839	-2.237	1.248	3.45	-0.91	0.02	9.142	7.06	4.359	8.808	11.116	21.183	28.95	30.6	34.449	0.411	12.157	19.802	12.29	0.835	-9.436	-27.29	-26.313	-21.413	-18.129	-17.345	-15.721	-14.391	-14.682	2016
131	BCA_NGDPD	DZA	0.571	-0.472	-0.973	-0.179	0.144	1.66	-3.623	0.223	-3.678	-1.965	2.181	5.121	2.621	1.589	-4.334	-5.318	2.658	7.161	-1.888	0.041	16.699	12.896	7.68	12.979	13.028	20.526	24.738	22.671	20.146	0.3	7.541	9.931	5.88	0.398	-4.419	-16.561	-16.366	-12.31	-10.203	-9.536	-8.382	-7.384	-7.26	2015
